fold,model,score,test,train,window
21,LogisticRegression,0.5454771214134483,ATT,POS,1
22,LogisticRegression,0.5399150661674088,ATT,POS,1
23,LogisticRegression,0.5474888471569586,ATT,POS,1
24,LogisticRegression,0.5474069248862002,ATT,POS,1
25,LogisticRegression,0.5430624298891723,ATT,POS,1
26,LogisticRegression,0.5440406618966886,ATT,POS,1
27,LogisticRegression,0.5411197132600627,ATT,POS,1
28,LogisticRegression,0.5465815264177908,ATT,POS,1
29,LogisticRegression,0.5419043418665621,ATT,POS,1
30,LogisticRegression,0.5393004405562611,ATT,POS,1
31,LogisticRegression,0.5394358061059883,ATT,POS,1
32,LogisticRegression,0.54865851814702,ATT,POS,1
33,LogisticRegression,0.5352358284421382,ATT,POS,1
34,LogisticRegression,0.5421892374845787,ATT,POS,1
35,LogisticRegression,0.5439835904788931,ATT,POS,1
36,LogisticRegression,0.5432541066333306,ATT,POS,1
37,LogisticRegression,0.5454474002529862,ATT,POS,1
38,LogisticRegression,0.5378034477017196,ATT,POS,1
39,LogisticRegression,0.543731857721387,ATT,POS,1
40,LogisticRegression,0.5338000057158608,ATT,POS,1
41,LogisticRegression,0.5407688509040055,ATT,POS,1
42,LogisticRegression,0.5485533063726439,ATT,POS,1
43,LogisticRegression,0.5418149090540328,ATT,POS,1
44,LogisticRegression,0.5487424749472208,ATT,POS,1
45,LogisticRegression,0.5408935717258232,ATT,POS,1
46,LogisticRegression,0.5405790748336196,ATT,POS,1
47,LogisticRegression,0.5440238073770122,ATT,POS,1
48,LogisticRegression,0.5395407017857653,ATT,POS,1
49,LogisticRegression,0.5408789237337435,ATT,POS,1
50,LogisticRegression,0.5435663911577533,ATT,POS,1
51,LogisticRegression,0.5356238994754359,ATT,POS,1
52,LogisticRegression,0.5407340415430157,ATT,POS,1
53,LogisticRegression,0.5439022386788299,ATT,POS,1
54,LogisticRegression,0.5428198030704575,ATT,POS,1
55,LogisticRegression,0.5410034222453322,ATT,POS,1
56,LogisticRegression,0.544741742746699,ATT,POS,1
57,LogisticRegression,0.5353492886772524,ATT,POS,1
58,LogisticRegression,0.5387407757752773,ATT,POS,1
59,LogisticRegression,0.5470029316591531,ATT,POS,1
60,LogisticRegression,0.5360921798571457,ATT,POS,1
61,LogisticRegression,0.5454278689386041,ATT,POS,1
62,LogisticRegression,0.5411401880876587,ATT,POS,1
63,LogisticRegression,0.5417270143368548,ATT,POS,1
64,LogisticRegression,0.5487914489244591,ATT,POS,1
65,LogisticRegression,0.5444982168644661,ATT,POS,1
66,LogisticRegression,0.544074605089525,ATT,POS,1
67,LogisticRegression,0.5444135605283271,ATT,POS,1
68,LogisticRegression,0.5472404569617637,ATT,POS,1
69,LogisticRegression,0.5358305139314227,ATT,POS,1
70,LogisticRegression,0.5365274067228032,ATT,POS,1
71,LogisticRegression,0.5455110552629469,ATT,POS,1
72,LogisticRegression,0.5401246433151976,ATT,POS,1
73,LogisticRegression,0.5417168898243596,ATT,POS,1
74,LogisticRegression,0.5410098456306902,ATT,POS,1
75,LogisticRegression,0.5421938145037011,ATT,POS,1
76,LogisticRegression,0.5366098195940872,ATT,POS,1
77,LogisticRegression,0.5433832736737663,ATT,POS,1
78,LogisticRegression,0.5398880423639434,ATT,POS,1
79,LogisticRegression,0.5448549235924651,ATT,POS,1
80,LogisticRegression,0.5390032792870202,ATT,POS,1
81,LogisticRegression,0.5342403113853496,ATT,POS,1
82,LogisticRegression,0.5383779836948355,ATT,POS,1
83,LogisticRegression,0.5325189344806218,ATT,POS,1
84,LogisticRegression,0.539296614654891,ATT,POS,1
