awareness,confidence,correct,experiment_test,experiment_train,fold,model,participant,score,sub,window
,,,POS,ATT,50.5,RandomForestClassifier,FW,0.5014269816812191,,4
,,,POS,ATT,50.5,RandomForestClassifier,HB,0.4646623106623109,,4
,,,ATT,POS,50.5,RandomForestClassifier,IK,0.42211459700186893,,4
,,,ATT,POS,50.5,RandomForestClassifier,JD,0.5265654742369545,,4
,,,ATT,POS,50.5,RandomForestClassifier,JZ,0.47097843893674335,,4
,,,ATT,POS,50.5,RandomForestClassifier,KK,0.5799852807364976,,4
,,,POS,ATT,50.5,RandomForestClassifier,KK,0.5248876871331531,,4
,,,ATT,POS,50.5,RandomForestClassifier,KS,0.497560523861442,,4
,,,POS,ATT,50.5,RandomForestClassifier,LM,0.48994932432432464,,4
,,,POS,ATT,50.5,RandomForestClassifier,MC,0.427751811904354,,4
,,,POS,ATT,50.5,RandomForestClassifier,MP1,0.4915421351109341,,4
,,,POS,ATT,50.5,RandomForestClassifier,MP2,0.41308930852034315,,4
,,,POS,ATT,50.5,RandomForestClassifier,NN,0.49226667542016783,,4
,,,ATT,POS,50.5,RandomForestClassifier,OE,0.526132377651754,,4
,,,ATT,POS,50.5,RandomForestClassifier,OS,0.5183589770797971,,4
,,,ATT,POS,50.5,RandomForestClassifier,PC,0.4415234993020009,,4
,,,ATT,POS,50.5,RandomForestClassifier,RL,0.4672208497704198,,4
,,,POS,ATT,50.5,RandomForestClassifier,RP,0.5117862282960326,,4
,,,POS,ATT,50.5,RandomForestClassifier,SD,0.4466349529190207,,4
,,,ATT,POS,50.5,RandomForestClassifier,SO,0.5193882803943048,,4
,,,ATT,POS,50.5,RandomForestClassifier,SP,0.4646532165027738,,4
,,,POS,ATT,50.5,RandomForestClassifier,TJ,0.4766699337748348,,4
,,,POS,ATT,50.5,RandomForestClassifier,TS,0.5080484126984132,,4
,,,ATT,POS,50.5,RandomForestClassifier,WT,0.45692958228114494,,4
,,,POS,ATT,50.5,RandomForestClassifier,WT,0.46870613654643817,,4
,,,ATT,POS,50.5,RandomForestClassifier,YS,0.5064241306638572,,4
1.3345782413483775,1.8815341673717216,0.2294974004355733,POS,POS,,LogisticRegression,,0.7455107060185188,LM,1
0.32444755445385937,0.3625675633765255,0.3129848821696152,POS,POS,,RandomForestClassifier,,0.7456785300925927,LM,1
0.32513748330214104,0.4830836240437646,0.2097089454917966,POS,POS,,LogisticRegression,,0.5624857741838873,LM,2
0.32953971663002185,0.33865824668973565,0.3318020366802426,POS,POS,,RandomForestClassifier,,0.5636388140161724,LM,2
0.08248550063949951,0.009837914789748685,-0.20267775488607406,POS,POS,,LogisticRegression,,0.4615860215053763,LM,3
0.3339459172440329,0.3319565798342389,0.33409750292172824,POS,POS,,RandomForestClassifier,,0.45438804554079704,LM,3
0.2052870657419451,-0.2102559678222913,-0.3228734911580223,POS,POS,,LogisticRegression,,0.5292704918032787,LM,4
0.3308515156588188,0.33502327307019303,0.33412521127098804,POS,POS,,RandomForestClassifier,,0.5282770491803279,LM,4
-0.4736774182292553,0.3767470866286011,-0.3186218594629743,POS,POS,,LogisticRegression,,0.5747565891472868,FW,1
0.33973500730076944,0.32945713496927553,0.33080785772995497,POS,POS,,RandomForestClassifier,,0.5770945736434109,FW,1
-0.5380163321629968,0.10015839019228512,0.13810978738409085,POS,POS,,LogisticRegression,,0.5634057271557271,FW,2
0.346663976852348,0.3264104929515016,0.32692553019615034,POS,POS,,RandomForestClassifier,,0.5539173101673102,FW,2
0.11268557930199187,0.17511102604339926,0.22239585438856013,POS,POS,,LogisticRegression,,0.5162669376693767,FW,3
0.3311838068508444,0.3323647184018861,0.3364514747472698,POS,POS,,RandomForestClassifier,,0.5215108401084011,FW,3
-0.19983724795772986,0.2952107248307918,-0.02636111185385929,POS,POS,,LogisticRegression,,0.5137288732394366,FW,4
0.3336270921099189,0.3376807311562263,0.3286921767338548,POS,POS,,RandomForestClassifier,,0.5126232394366198,FW,4
0.4306290586646223,0.8075128065401748,0.15758843674255632,POS,POS,,LogisticRegression,,0.6296049985636312,AC,1
0.32921319423975604,0.34787646047199194,0.3229103452882521,POS,POS,,RandomForestClassifier,,0.6331528296466533,AC,1
0.3889524865265712,-0.08201769457336126,0.11736290891618854,POS,POS,,LogisticRegression,,0.523049940546968,AC,2
0.3394348301036261,0.3292086272335133,0.3313565426628605,POS,POS,,RandomForestClassifier,,0.5254310344827587,AC,2
